violation_id,timestamp,location,violation_type,vehicle_type,severity
V00068,2025-10-07 13:58:39.646293,"51.5074,-0.1278",Illegal Parking,Motorcycle,3
V00069,2025-08-09 19:35:39.646293,INT005,Illegal Turn,Motorcycle,5
V00070,2025-10-12 10:33:39.646293,INT004,Illegal Parking,Car,1
V00071,2025-08-24 06:58:39.646293,INT005,Red Light,Motorcycle,5
V00072,2025-09-07 21:01:39.646293,"34.0522,-118.2437",Illegal Turn,Truck,4
V00073,2025-10-02 10:11:39.646293,INT001,Speeding,,3
V00074,2025-08-03 04:38:39.646293,"48.8566,2.3522",Unknown,Bus,2
V00075,2025-10-27 04:07:39.646293,INT003,Illegal Turn,Bus,3
V00076,2025-10-21 12:32:39.646293,"48.8566,2.3522",Red Light,Motorcycle,1
V00077,malformed,INT002,Speeding,Bus,1
V00078,2025-08-27 15:53:39.646293,INT001,Red Light,Car,4
V00079,2025-09-27 19:08:39.646293,"51.5074,-0.1278",Unknown,Truck,2
V00080,2025-10-03 02:27:39.646293,INT001,Red Light,,2
V00081,malformed,INT003,Unknown,Truck,4
V00082,2025-09-14 01:42:39.646293,INT004,Illegal Turn,,2
V00083,2025-08-07 16:40:39.646293,"34.0522,-118.2437",Unknown,Truck,5
V00084,malformed,"48.8566,2.3522",Red Light,Truck,2
V00085,2025-08-15 06:30:39.646293,INT003,Unknown,,4
V00086,2025-10-23 19:53:39.646293,INT003,Illegal Turn,Bus,2
V00087,2025-09-03 16:51:39.646293,INT005,Illegal Turn,Car,1
V00088,2025-10-25 07:45:39.646293,"51.5074,-0.1278",Unknown,Bus,5
V00089,2025-08-21 22:47:39.646293,"34.0522,-118.2437",Speeding,Bus,4
V00090,2025-09-14 09:07:39.646293,"51.5074,-0.1278",Illegal Turn,Truck,5
V00091,2025-07-31 04:12:39.646293,INT003,Red Light,Motorcycle,3
V00092,2025-10-26 17:12:39.646293,INT003,Unknown,,2
V00093,2025-10-18 15:51:39.646293,"51.5074,-0.1278",Unknown,Car,5
V00094,2025-09-25 18:20:39.646293,INT002,Unknown,Truck,2
V00095,2025-07-31 19:38:39.646293,"51.5074,-0.1278",Unknown,Motorcycle,1
V00096,2025-07-29 14:53:39.646293,"34.0522,-118.2437",Unknown,,3
V00097,malformed,"48.8566,2.3522",Speeding,Bus,1
V00098,2025-10-13 18:57:39.646293,"48.8566,2.3522",Illegal Parking,Bus,1
V00099,2025-09-28 03:43:39.646293,INT001,Illegal Turn,Bus,2
V00100,2025-10-02 16:38:39.646293,"51.5074,-0.1278",Illegal Parking,Motorcycle,2
V00101,2025-08-23 07:18:39.646293,INT004,Illegal Turn,,4
V00102,2025-08-06 05:48:39.646293,INT003,Speeding,Truck,1
V00103,2025-09-22 21:06:39.646293,"40.7128,-74.0060",Speeding,Motorcycle,2
V00104,2025-09-22 00:07:39.646293,INT001,Illegal Parking,Car,5
V00105,2025-09-12 19:08:39.646293,"48.8566,2.3522",Red Light,Motorcycle,3
V00106,2025-08-30 01:40:39.646293,INT002,Red Light,Bus,2
V00107,2025-08-18 06:01:39.646293,INT001,Illegal Parking,Truck,1
V00108,2025-10-13 23:34:39.646293,"51.5074,-0.1278",Illegal Parking,Motorcycle,2
V00109,2025-07-31 09:54:39.646293,"51.5074,-0.1278",Red Light,Bus,3
V00110,2025-08-07 06:08:39.646293,INT005,Red Light,,1
V00111,2025-09-10 13:07:39.646293,"48.8566,2.3522",Illegal Parking,Bus,4
V00112,2025-09-09 01:29:39.646293,"51.5074,-0.1278",Speeding,Car,2
V00113,malformed,INT002,Speeding,,3
V00114,2025-08-09 20:01:39.646293,"48.8566,2.3522",Illegal Turn,Car,2
V00115,2025-08-29 22:58:39.646293,INT003,Illegal Parking,Bus,3
V00116,2025-07-28 18:36:39.646293,"34.0522,-118.2437",Illegal Turn,Motorcycle,5
V00117,2025-10-08 04:59:39.646293,INT001,Unknown,Bus,1
V00118,2025-10-04 11:41:39.646293,INT004,Illegal Parking,Motorcycle,5
V00119,2025-08-31 08:14:39.646293,INT005,Unknown,,2
V00120,2025-10-10 02:13:39.646293,INT005,Speeding,Bus,4
V00121,2025-10-16 15:26:39.646293,"51.5074,-0.1278",Speeding,Truck,3
V00122,2025-09-04 06:29:39.646293,INT003,Unknown,Motorcycle,3
V00123,2025-08-16 15:08:39.646293,"51.5074,-0.1278",Illegal Turn,,2
V00124,2025-08-20 12:03:39.646293,INT005,Red Light,,4
V00125,2025-10-13 00:36:39.646293,INT004,Unknown,Car,1
V00126,malformed,INT002,Illegal Turn,Truck,1
V00127,2025-08-09 17:52:39.646293,"51.5074,-0.1278",Speeding,Bus,2
V00128,2025-08-11 14:08:39.646293,INT005,Illegal Parking,Car,1
V00129,2025-10-21 19:51:39.646293,INT001,Red Light,Car,2
V00130,2025-09-23 11:49:39.646293,INT001,Illegal Turn,,1
V00131,2025-09-14 20:54:39.646293,INT004,Red Light,Truck,3
V00132,2025-10-09 21:14:39.646293,INT004,Red Light,Bus,4
V00133,2025-08-15 12:42:39.646293,INT005,Unknown,Car,2
V00134,2025-08-01 06:55:39.646293,INT004,Red Light,Car,3
V00135,2025-10-14 21:43:39.646293,"51.5074,-0.1278",Speeding,Motorcycle,4
V00136,2025-08-13 21:54:39.646293,"40.7128,-74.0060",Illegal Turn,Bus,3
V00137,2025-07-28 21:17:39.646293,INT002,Red Light,Truck,3
V00138,2025-10-07 07:35:39.646293,"34.0522,-118.2437",Illegal Turn,,5
V00139,2025-09-20 11:13:39.646293,"40.7128,-74.0060",Illegal Parking,Car,4
V00140,2025-08-17 19:16:39.646293,INT002,Unknown,Car,3
V00141,2025-09-26 22:53:39.646293,INT005,Speeding,Truck,3
V00142,2025-09-09 04:51:39.646293,"40.7128,-74.0060",Illegal Parking,Motorcycle,5
V00143,2025-10-02 21:12:39.646293,"51.5074,-0.1278",Unknown,Bus,5
V00144,2025-08-18 20:56:39.646293,"51.5074,-0.1278",Illegal Parking,Truck,3
V00145,2025-09-19 19:39:39.646293,"51.5074,-0.1278",Red Light,Truck,2
V00146,2025-09-23 17:51:39.646293,INT003,Speeding,Truck,1
V00147,2025-08-14 07:12:39.646293,INT002,Unknown,Motorcycle,1
V00148,2025-08-12 11:59:39.646293,"40.7128,-74.0060",Illegal Parking,,1
V00149,2025-10-07 05:33:39.646293,"51.5074,-0.1278",Illegal Parking,,1
V00150,2025-08-22 04:42:39.646293,INT004,Red Light,Motorcycle,3
V00151,2025-08-16 01:29:39.646293,"40.7128,-74.0060",Speeding,Bus,1
V00152,2025-08-19 12:31:39.646293,INT003,Illegal Parking,Car,4
V00153,2025-10-13 12:08:39.646293,"40.7128,-74.0060",Speeding,Truck,2
V00154,2025-09-17 05:17:39.646293,INT002,Speeding,Bus,5
V00155,2025-09-27 13:51:39.646293,"40.7128,-74.0060",Illegal Turn,Truck,1
V00156,2025-08-07 14:46:39.646293,INT003,Red Light,Car,2
V00157,2025-08-04 06:49:39.646293,INT005,Unknown,Truck,5
V00158,2025-08-30 05:33:39.646293,"40.7128,-74.0060",Illegal Parking,Truck,5
V00159,2025-10-02 08:30:39.646293,"40.7128,-74.0060",Speeding,Car,4
V00160,2025-08-12 07:41:39.646293,"40.7128,-74.0060",Red Light,Car,3
V00161,2025-09-21 20:51:39.646293,INT001,Red Light,Car,4
V00162,2025-08-23 10:51:39.646293,INT003,Unknown,Truck,3
V00163,2025-10-19 02:34:39.646293,INT005,Speeding,Car,1
V00164,2025-09-14 23:00:39.646293,INT001,Red Light,,3
V00165,2025-08-21 18:10:39.646293,"51.5074,-0.1278",Speeding,Truck,2
V00166,2025-08-06 12:46:39.646293,"34.0522,-118.2437",Illegal Turn,Motorcycle,3
V00167,2025-09-21 19:17:39.646293,INT003,Unknown,,5
V00168,2025-08-23 19:28:39.646293,INT004,Illegal Turn,Car,1
V00169,2025-08-16 23:14:39.646293,"34.0522,-118.2437",Illegal Parking,Bus,5
V00170,2025-08-30 09:41:39.646293,"34.0522,-118.2437",Speeding,Truck,2
V00171,2025-09-15 01:09:39.646293,INT003,Illegal Parking,,4
V00172,2025-09-29 05:51:39.646293,INT001,Unknown,Truck,3
V00173,2025-07-29 08:02:39.646293,INT004,Unknown,Bus,3
V00174,2025-08-31 10:18:39.646293,INT003,Illegal Parking,Bus,4
V00175,2025-08-29 07:36:39.646293,"34.0522,-118.2437",Speeding,,3
V00176,2025-10-12 18:25:39.646293,INT005,Unknown,Truck,5
V00177,2025-10-23 07:17:39.646293,"51.5074,-0.1278",Red Light,Truck,1
V00178,2025-10-21 15:13:39.646293,INT005,Speeding,Bus,2
V00179,2025-09-03 08:15:39.646293,"40.7128,-74.0060",Unknown,,1
V00180,2025-08-09 02:11:39.646293,"48.8566,2.3522",Illegal Turn,Truck,3
V00181,2025-08-02 09:44:39.646293,"48.8566,2.3522",Unknown,Bus,2
V00182,2025-09-06 05:05:39.646293,INT005,Red Light,Bus,3
V00183,2025-08-11 05:46:39.646293,INT002,Speeding,Truck,4
V00184,2025-08-21 14:15:39.646293,INT001,Illegal Parking,,2
V00185,2025-10-18 06:51:39.646293,"40.7128,-74.0060",Illegal Turn,Truck,3
V00186,2025-08-08 11:17:39.646293,INT004,Illegal Turn,Car,5
V00187,2025-08-23 13:41:39.646293,"51.5074,-0.1278",Illegal Turn,Truck,1
V00188,2025-10-21 14:00:39.646293,INT002,Speeding,Motorcycle,1
V00189,2025-09-03 09:24:39.646293,INT002,Illegal Parking,Car,5
V00190,2025-10-23 10:12:39.646293,INT004,Unknown,,1
V00191,2025-10-17 23:14:39.646293,"34.0522,-118.2437",Illegal Parking,Car,2
V00192,2025-08-13 03:48:39.646293,INT002,Red Light,Motorcycle,4
V00193,2025-09-28 07:10:39.646293,"51.5074,-0.1278",Unknown,Car,3
V00194,2025-09-10 05:40:39.646293,"51.5074,-0.1278",Unknown,Truck,4
V00195,malformed,"48.8566,2.3522",Unknown,Motorcycle,4
V00196,2025-10-17 23:20:39.646293,INT004,Speeding,Truck,5
V00197,2025-07-30 22:56:39.646293,INT002,Illegal Turn,Bus,2
V00198,2025-10-09 09:16:39.646293,INT005,Unknown,Bus,3
V00199,2025-08-01 00:16:39.646293,INT004,Illegal Parking,Truck,2
V00200,2025-10-25 22:37:39.646293,INT001,Illegal Parking,Bus,2
V00201,2025-10-14 16:05:39.646293,"51.5074,-0.1278",Speeding,Truck,4
V00202,2025-09-16 16:43:39.646293,INT004,Illegal Turn,Truck,3
V00203,2025-08-08 12:48:39.646293,INT002,Unknown,,3
V00204,2025-10-27 02:09:39.646293,"40.7128,-74.0060",Illegal Parking,Motorcycle,3
V00205,malformed,"34.0522,-118.2437",Speeding,Truck,2
V00206,2025-09-15 01:42:39.646293,INT001,Illegal Parking,Bus,1
V00207,2025-09-27 20:15:39.646293,INT002,Illegal Parking,Truck,1
V00208,2025-08-19 22:10:39.646293,"51.5074,-0.1278",Illegal Turn,,1
V00209,2025-10-03 10:51:39.646293,INT003,Red Light,Car,4
V00210,2025-09-26 18:53:39.646293,"51.5074,-0.1278",Speeding,Bus,2
V00211,2025-10-02 11:02:39.646293,INT002,Unknown,Bus,1
V00212,2025-08-03 04:53:39.646293,"51.5074,-0.1278",Illegal Parking,Bus,3
V00213,2025-08-12 20:01:39.646293,INT001,Illegal Parking,Bus,3
V00214,2025-08-26 09:45:39.646293,"34.0522,-118.2437",Red Light,Car,5
V00215,2025-08-14 03:44:39.646293,INT004,Red Light,Truck,5
V00216,2025-10-11 01:04:39.646293,"40.7128,-74.0060",Illegal Parking,Car,2
V00217,2025-09-22 03:43:39.646293,"34.0522,-118.2437",Illegal Parking,Car,4
V00218,2025-07-30 02:37:39.646293,INT002,Unknown,Motorcycle,2
V00219,2025-08-15 03:38:39.646293,INT005,Illegal Parking,Bus,2
V00220,2025-10-22 03:01:39.646293,INT005,Red Light,Truck,1
V00221,2025-10-17 07:28:39.646293,"34.0522,-118.2437",Unknown,Motorcycle,2
V00222,2025-10-05 03:16:39.646293,"34.0522,-118.2437",Unknown,Truck,3
V00223,2025-09-27 13:34:39.646293,INT001,Illegal Turn,Motorcycle,1
V00224,2025-09-02 15:57:39.646293,INT005,Illegal Turn,,2
V00225,2025-09-01 13:48:39.646293,INT002,Red Light,,4
V00226,2025-08-17 17:00:39.646293,INT005,Illegal Parking,Car,3
V00227,2025-09-09 03:19:39.646293,INT001,Speeding,Truck,5
V00228,2025-09-24 11:10:39.646293,INT001,Illegal Parking,Bus,3
V00229,2025-09-12 17:28:39.646293,"48.8566,2.3522",Illegal Parking,Motorcycle,5
V00230,2025-08-28 21:24:39.646293,INT004,Red Light,Truck,4
V00231,2025-09-23 05:40:39.646293,"51.5074,-0.1278",Unknown,Truck,1
V00232,2025-09-10 01:06:39.646293,"40.7128,-74.0060",Speeding,Car,5
V00233,2025-08-19 05:05:39.646293,INT003,Red Light,Car,1
V00234,2025-10-04 09:43:39.646293,"51.5074,-0.1278",Speeding,Car,4
V00235,2025-09-03 10:20:39.646293,"48.8566,2.3522",Illegal Turn,Car,4
V00236,2025-09-28 22:00:39.646293,"48.8566,2.3522",Red Light,Bus,3
V00237,2025-09-30 19:20:39.646293,INT005,Illegal Parking,Truck,1
V00238,2025-08-28 07:03:39.646293,"40.7128,-74.0060",Illegal Turn,Motorcycle,2
V00239,2025-09-08 03:43:39.646293,INT004,Unknown,Truck,2
V00240,2025-08-11 14:57:39.646293,"48.8566,2.3522",Illegal Turn,,5
V00241,2025-08-31 20:03:39.646293,INT004,Speeding,Car,2
V00242,2025-09-01 16:31:39.646293,INT001,Unknown,Motorcycle,3
V00243,2025-09-18 13:47:39.646293,INT004,Red Light,Motorcycle,1
V00244,2025-09-07 19:13:39.646293,INT005,Speeding,Truck,5
V00245,2025-10-10 17:32:39.646293,INT004,Red Light,Motorcycle,1
V00246,2025-08-12 03:56:39.646293,INT002,Unknown,Truck,5
V00247,2025-09-05 04:52:39.646293,INT004,Illegal Parking,Motorcycle,2
V00248,2025-09-30 14:10:39.646293,INT005,Speeding,Motorcycle,1
V00249,2025-09-11 00:07:39.646293,INT005,Illegal Parking,Bus,3
V00250,malformed,INT005,Unknown,Truck,5
V00251,2025-08-19 13:40:39.646293,INT005,Illegal Turn,Bus,3
V00252,2025-09-29 01:38:39.646293,INT001,Red Light,Truck,5
V00253,malformed,INT001,Red Light,Bus,1
V00254,2025-10-02 02:40:39.646293,"34.0522,-118.2437",Illegal Turn,Car,1
V00255,2025-09-20 07:53:39.646293,"34.0522,-118.2437",Speeding,Car,2
V00256,2025-10-11 08:50:39.646293,"40.7128,-74.0060",Illegal Turn,Motorcycle,2
V00257,2025-08-31 06:54:39.646293,INT001,Illegal Turn,Car,5
V00258,2025-08-06 09:25:39.646293,INT001,Illegal Parking,Car,5
V00259,2025-09-07 23:35:39.646293,INT002,Illegal Parking,Car,4
V00260,2025-08-12 00:12:39.646293,INT003,Unknown,Car,4
V00261,2025-09-25 02:30:39.646293,INT005,Illegal Parking,Bus,4
V00262,2025-10-26 11:03:39.646293,INT002,Unknown,Truck,3
V00263,2025-09-21 06:58:39.646293,"51.5074,-0.1278",Illegal Parking,Truck,2
V00264,malformed,INT003,Illegal Parking,Bus,3
V00265,2025-07-29 18:19:39.646293,"40.7128,-74.0060",Illegal Turn,Motorcycle,2
V00266,2025-08-23 09:23:39.646293,"40.7128,-74.0060",Illegal Parking,Car,3
V00267,2025-10-21 12:54:39.646293,INT002,Red Light,Truck,4
V00268,2025-09-30 11:27:39.646293,"48.8566,2.3522",Red Light,Bus,1
V00269,2025-10-15 00:57:39.646293,INT001,Illegal Turn,,5
V00270,2025-10-08 19:07:39.646293,"40.7128,-74.0060",Speeding,Car,2
V00271,2025-08-19 15:56:39.646293,INT005,Unknown,Motorcycle,2
V00272,2025-09-11 11:36:39.646293,INT001,Illegal Turn,Motorcycle,4
V00273,2025-08-15 23:40:39.646293,INT001,Unknown,Truck,2
V00274,2025-08-18 20:43:39.646293,"40.7128,-74.0060",Unknown,Bus,4
V00275,2025-09-17 23:52:39.646293,INT001,Illegal Turn,Bus,3
V00276,2025-10-07 10:45:39.646293,INT004,Speeding,Car,1
V00277,2025-10-15 03:47:39.646293,"51.5074,-0.1278",Red Light,,2
V00278,2025-09-24 17:06:39.646293,INT003,Red Light,Truck,4
V00279,2025-08-15 23:46:39.646293,INT001,Red Light,Motorcycle,5
V00280,2025-10-05 12:32:39.646293,"40.7128,-74.0060",Unknown,Bus,3
V00281,2025-10-14 20:55:39.646293,INT005,Illegal Parking,Car,1
V00282,2025-08-13 16:38:39.646293,"34.0522,-118.2437",Illegal Turn,,2
V00283,2025-09-21 02:22:39.646293,"34.0522,-118.2437",Illegal Parking,Bus,3
V00284,2025-08-02 09:52:39.646293,INT001,Red Light,,4
V00285,2025-08-17 01:13:39.646293,INT005,Red Light,Bus,5
V00286,2025-10-17 11:32:39.646293,"40.7128,-74.0060",Illegal Turn,Car,2
V00287,2025-08-16 20:34:39.646293,INT005,Unknown,Car,5
V00288,2025-09-25 12:05:39.646293,INT001,Unknown,Truck,2
V00289,2025-09-16 12:57:39.646293,INT003,Red Light,Car,1
V00290,2025-08-29 08:08:39.646293,INT004,Unknown,Truck,4
V00291,2025-08-16 05:33:39.646293,INT001,Illegal Parking,Bus,4
V00292,2025-09-12 07:24:39.646293,INT002,Illegal Turn,Car,2
V00293,2025-10-21 12:28:39.646293,"51.5074,-0.1278",Speeding,Bus,4
V00294,2025-08-11 17:02:39.646293,INT004,Red Light,Car,4
V00295,2025-08-29 06:54:39.646293,INT001,Speeding,Motorcycle,5
V00296,2025-08-07 12:00:39.646293,INT001,Unknown,Motorcycle,5
V00297,2025-07-29 19:13:39.646293,"51.5074,-0.1278",Speeding,Truck,5
V00298,2025-09-28 20:10:39.646293,"34.0522,-118.2437",Unknown,,4
V00299,2025-08-28 19:07:39.646293,"34.0522,-118.2437",Speeding,Truck,2
V00300,2025-09-22 04:04:39.646293,INT002,Illegal Turn,,3
V00301,malformed,"40.7128,-74.0060",Speeding,Car,4
V00302,2025-09-23 07:07:39.646293,INT001,Red Light,Motorcycle,2
V00303,2025-08-19 13:35:39.646293,INT005,Unknown,,3
V00304,2025-08-25 02:34:39.646293,INT003,Red Light,Motorcycle,2
V00305,2025-08-09 01:59:39.646293,INT005,Red Light,Motorcycle,1
V00306,2025-09-20 16:41:39.646293,INT002,Illegal Turn,Car,2
V00307,2025-09-12 08:49:39.646293,INT001,Speeding,Truck,4
V00308,2025-07-30 05:28:39.646293,"48.8566,2.3522",Unknown,Truck,4
V00309,2025-08-20 10:28:39.646293,INT003,Red Light,Truck,5
V00310,2025-09-19 11:25:39.646293,INT002,Speeding,Car,2
V00311,2025-10-02 03:43:39.646293,"48.8566,2.3522",Illegal Parking,,5
V00312,2025-10-14 08:27:39.646293,INT005,Unknown,Motorcycle,2
V00313,2025-09-27 11:35:39.646293,INT004,Illegal Turn,Car,3
V00314,2025-08-13 18:06:39.646293,"51.5074,-0.1278",Unknown,Motorcycle,2
V00315,2025-08-16 06:28:39.646293,"34.0522,-118.2437",Illegal Parking,,4
V00316,2025-10-11 16:24:39.646293,"40.7128,-74.0060",Illegal Turn,Car,2
V00317,2025-10-13 23:27:39.646293,"48.8566,2.3522",Illegal Turn,Bus,2
V00318,2025-08-31 13:22:39.646293,"40.7128,-74.0060",Unknown,Motorcycle,4
V00319,2025-07-29 19:48:39.646293,"40.7128,-74.0060",Illegal Parking,Motorcycle,5
V00320,2025-09-22 10:36:39.646293,"40.7128,-74.0060",Illegal Turn,Car,3
V00321,2025-10-18 06:51:39.646293,"48.8566,2.3522",Unknown,,3
V00322,2025-07-31 08:13:39.646293,INT001,Red Light,Truck,4
V00323,2025-09-10 12:14:39.646293,"51.5074,-0.1278",Illegal Parking,Car,4
V00324,2025-10-06 17:51:39.646293,"40.7128,-74.0060",Red Light,Motorcycle,5
V00325,2025-10-25 03:42:39.646293,INT002,Illegal Parking,,5
V00326,2025-09-11 00:00:39.646293,INT005,Unknown,Truck,3
V00327,2025-10-14 15:53:39.646293,INT001,Red Light,Bus,3
V00328,2025-09-09 15:28:39.646293,"34.0522,-118.2437",Speeding,Motorcycle,5
V00329,2025-07-30 12:43:39.646293,"34.0522,-118.2437",Illegal Turn,Truck,2
V00330,2025-09-13 22:50:39.646293,"51.5074,-0.1278",Red Light,Truck,2
V00331,2025-10-22 11:28:39.646293,INT003,Illegal Parking,Bus,5
V00332,2025-09-27 21:29:39.646293,INT003,Red Light,Motorcycle,2
V00333,2025-08-18 12:28:39.646293,INT005,Red Light,Truck,1
V00334,2025-08-21 13:14:39.646293,INT002,Illegal Turn,Bus,2
V00335,2025-10-17 20:20:39.646293,INT003,Unknown,Motorcycle,5
V00336,2025-08-21 07:23:39.646293,INT001,Illegal Parking,Bus,4
V00337,2025-08-27 18:26:39.646293,"48.8566,2.3522",Speeding,Bus,4
V00338,2025-09-01 10:26:39.646293,INT004,Illegal Turn,Motorcycle,3
V00339,2025-08-15 10:53:39.646293,INT005,Illegal Turn,Bus,4
V00340,2025-08-26 19:09:39.646293,"48.8566,2.3522",Red Light,Motorcycle,4
V00341,2025-09-08 10:35:39.646293,"48.8566,2.3522",Illegal Parking,Truck,1
V00342,2025-08-20 00:28:39.646293,INT002,Speeding,Motorcycle,2
V00343,2025-09-30 13:04:39.646293,"34.0522,-118.2437",Unknown,Car,3
V00344,2025-09-05 10:43:39.646293,INT004,Red Light,Car,1
V00345,2025-10-10 15:02:39.646293,INT005,Speeding,Truck,2
V00346,2025-10-03 09:28:39.646293,"40.7128,-74.0060",Speeding,Bus,4
V00347,2025-10-07 03:32:39.646293,"48.8566,2.3522",Speeding,Truck,3
V00348,2025-08-04 21:43:39.646293,"48.8566,2.3522",Illegal Parking,,4
V00349,2025-10-18 09:17:39.646293,"34.0522,-118.2437",Unknown,Truck,3
V00350,2025-08-01 23:04:39.646293,INT002,Illegal Parking,Motorcycle,5
V00351,2025-08-30 06:20:39.646293,"51.5074,-0.1278",Illegal Parking,,2
V00352,2025-09-21 16:32:39.646293,INT004,Red Light,,2
V00353,2025-09-11 18:05:39.646293,INT005,Speeding,Bus,4
V00354,2025-09-12 02:18:39.646293,INT003,Illegal Parking,Truck,5
V00355,2025-09-07 22:43:39.646293,"40.7128,-74.0060",Illegal Parking,Truck,4
